director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language
Gary Fleder,Action Crime Drama Thriller,Jason Statham,James Franco,Frank Grillo,homefront,English
Uli Edel,Adventure Comedy Family Fantasy,Richard E. Grant,Jim Carter,Alice Krige,the little vampire,English
David O. Russell,Comedy,Naomi Watts,Lily Tomlin,Isabelle Huppert,i heart huckabees,English
Fred Dekker,Action Crime Sci-Fi Thriller,CCH Pounder,Rip Torn,Mako,robocop 3,English
Brian Trenchard-Smith,Action Adventure Fantasy Sci-Fi Thriller,Michael Biehn,Udo Kier,Franco Nero,megiddo: the omega code 2,English
Blake Edwards,Comedy Drama Musical Romance War,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,darling lili,English
Hugh Wilson,Comedy Family Romance,Brendan Fraser,Alex Rocco,Eric Idle,dudley do-right,English
Camille Delamarre,Action Crime Thriller,Ed Skrein,Noémie Lenoir,Radivoje Bukvic,the transporter refueled,English
Laurence Dunmore,Drama Romance,Johnny Depp,Jack Davenport,Richard Coyle,the libertine,English
Paul Verhoeven,Drama Thriller War,Michiel Huisman,Sebastian Koch,Christian Berkel,black book,Dutch
Christian Carion,Drama History Music Romance War,Gary Lewis,Dany Boon,Ian Richardson,joyeux noel,French
David Palmer,Action Comedy Romance,Bradley Cooper,Tom Arnold,Beau Bridges,hit and run,English
Callie Khouri,Comedy Crime Thriller,Stephen Root,Ted Danson,Roger Cross,mad money,English
Rowan Joffe,Drama Mystery Thriller,Colin Firth,Ben Crompton,Anne-Marie Duff,before i go to sleep,English
William Friedkin,Adventure Drama Thriller,Roy Scheider,Joe Spinell,Amidou,sorcerer,English
John Curran,Drama Thriller,Robert De Niro,Milla Jovovich,Frances Conroy,stone,English
Laurent Tirard,Comedy History,Romain Duris,Ludivine Sagnier,Fabrice Luchini,molière,French
Scott Cooper,Crime Drama Thriller,Christian Bale,Sam Shepard,Dendrie Taylor,out of the furnace,English
Tony Gilroy,Crime Drama Mystery Thriller,Tom Wilkinson,Denis O'Hare,Sydney Pollack,michael clayton,English
Peter Segal,Adventure Comedy,Wilford Brimley,Bradley Whitford,Sela Ward,my fellow americans,English
Mark Pellington,Crime Drama Thriller,Jeff Bridges,Spencer Treat Clark,Hope Davis,arlington road,English
Juan José Campanella,Adventure Animation Family Sport,Pablo Rago,Diego Ramos,Gabriel Almirón,underdogs,Spanish
Woody Allen,Comedy Romance,Ornella Muti,Judy Davis,Alessandra Mastronardi,to rome with love,English
Clint Eastwood,Action Adventure Thriller,Clint Eastwood,Warren Clarke,Kenneth Colley,firefox,English
Trey Parker,Animation Comedy Fantasy Musical,Minnie Driver,Eric Idle,Trey Parker,south park: bigger longer & uncut,English
Frank Oz,Comedy,Peter Dinklage,Ewen Bremner,Kris Marshall,death at a funeral,English
Stuart Gillard,Action Adventure Comedy Family Fantasy Sci-Fi,Paige Turco,John Aylward,Matt Hill,teenage mutant ninja turtles iii,English
Brian Robbins,Drama Sport,Keanu Reeves,D.B. Sweeney,DeWayne Warren,hardball,English
David O. Russell,Comedy Drama Romance,Jennifer Lawrence,Robert De Niro,Bradley Cooper,silver linings playbook,English
Richard LaGravenese,Biography Crime Drama,Hunter Parrish,Scott Glenn,Imelda Staunton,freedom writers,English
Tyler Perry,Drama,Omari Hardwick,Loretta Devine,Kimberly Elise,for colored girls,English
Louis Leterrier,Action Crime Thriller,Jason Statham,Qi Shu,Matt Schulze,the transporter,English
Jeff Wadlow,Action Drama Sport,Djimon Hounsou,Neil Brown Jr.,Leslie Hope,never back down,English
Katt Shea,Horror Sci-Fi Thriller,Jason London,Rachel Blanchard,Eddie Kaye Thomas,the rage: carrie 2,English
unknown,Game-Show Reality-TV Romance,Chris Harrison,unknown,unknown,the bachelor            ,English
Sam Mendes,Comedy Drama Romance,Catherine O'Hara,Jim Gaffigan,Carmen Ejogo,away we go,English
Joshua Michael Stern,Comedy Drama,Madeline Carroll,Judge Reinhold,Nathan Lane,swing vote,English
Brad Silberling,Drama Romance,Jake Gyllenhaal,Holly Hunter,Bob Clendenin,moonlight mile,English
Tomas Alfredson,Drama Mystery Thriller,Benedict Cumberbatch,Colin Firth,Gary Oldman,tinker tailor soldier spy,English
John Duigan,Comedy Drama Romance,Elaine Hendrix,Jill Hennessy,Sarah Wynter,molly,English
Jodie Foster,Drama,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart,the beaver,English
Colin Higgins,Comedy Musical,Dolly Parton,Barry Corbin,Dom DeLuise,the best little whorehouse in texas,English
David Cronenberg,Horror Sci-Fi Thriller,Jennifer Jason Leigh,Sarah Polley,Callum Rennie,existenz,English
Steven Spielberg,Action Adventure,Harrison Ford,Karen Allen,William Hootkins,raiders of the lost ark,English
Chris Columbus,Adventure Comedy Family,Macaulay Culkin,Kieran Culkin,Devin Ratray,home alone 2: lost in new york,English
Steven Spielberg,Drama Sci-Fi,Bob Balaban,Teri Garr,Melinda Dillon,close encounters of the third kind,English
Jim Sonzero,Drama Horror Sci-Fi Thriller,Ian Somerhalder,Christina Milian,Rick Gonzalez,pulse,English
Tony Scott,Action Comedy Crime Thriller,Dean Stockwell,Judge Reinhold,Ronny Cox,beverly hills cop ii,English
Adam Shankman,Comedy,Angus T. Jones,Kimberly J. Brown,Steve Harris,bringing down the house,English
Jonathan Demme,Crime Drama Horror Thriller,Anthony Hopkins,Scott Glenn,Anthony Heald,the silence of the lambs,English
Penelope Spheeris,Comedy Music,Tia Carrere,Lara Flynn Boyle,Kurt Fuller,wayne's world,English
Jeff Tremaine,Action Comedy Documentary,Bam Margera,Steve-O,Chris Pontius,jackass 3d,English
Jeannot Szwarc,Adventure Horror Thriller,Roy Scheider,Murray Hamilton,Joseph Mascolo,jaws 2,English
Raja Gosnell,Adventure Comedy Drama Family Romance,Jamie Lee Curtis,Nick Zano,Ali Hillis,beverly hills chihuahua,English
James Wan,Horror Mystery Thriller,Mackenzie Foy,Lili Taylor,Hayley McFarland,the conjuring,English
Brian Levant,Adventure Comedy Family Romance,Nia Long,Tracy Morgan,Jay Mohr,are we there yet?,English
Ben Falcone,Comedy,Gary Cole,Mark Duplass,Ben Falcone,tammy,English
D.J. Caruso,Drama Mystery Thriller,Sarah Roemer,Aaron Yoo,Jose Pablo Cantillo,disturbia,English
Richard Linklater,Comedy Music,Miranda Cosgrove,Sarah Silverman,Mike White,school of rock,English
Paul W.S. Anderson,Action Adventure Fantasy Sci-Fi Thriller,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,mortal kombat,English
Paul McGuigan,Drama Mystery Romance Thriller,Jessica Paré,Christopher Cousins,Mark Camacho,wicker park,English
Keenen Ivory Wayans,Comedy Crime,Busy Philipps,Jaime King,Brittany Daniel,white chicks,English
Alexander Payne,Comedy Drama,Shailene Woodley,Nick Krause,Beau Bridges,the descendants,English
Andrew Davis,Adventure Comedy Drama Family Mystery,Tim Blake Nelson,Zane Holtz,Ski Carr,holes,English
Julie Anne Robinson,Drama Family Music Romance,Kelly Preston,Bobby Coleman,Melissa Ordway,the last song,English
Steve McQueen,Biography Drama History,Quvenzhané Wallis,Scoot McNairy,Taran Killam,12 years a slave,English
Charles Stone III,Comedy Drama Music Romance,Leonard Roberts,Nick Cannon,Jason Weaver,drumline,English
Tyler Perry,Comedy Drama Romance,Michael Jai White,Cicely Tyson,Tasha Smith,why did i get married too?,English
Tim Burton,Fantasy Romance,Johnny Depp,Dianne Wiest,Conchata Ferrell,edward scissorhands,English
Thea Sharrock,Drama Romance,Sam Claflin,Emilia Clarke,Brendan Coyle,me before you,English
Tyler Perry,Comedy Crime Drama,John Amos,Tom Arnold,Romeo Miller,madea's witness protection,English
William Friedkin,Action Crime Drama Thriller,Roy Scheider,Fernando Rey,Tony Lo Bianco,the french connection,English
Jon Lucas,Comedy,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,bad moms,English
Aaron Seltzer,Comedy Romance,Alyson Hannigan,Carmen Electra,Fred Willard,date movie,English
Robin Budd,Adventure Animation Family Fantasy,Roger Rees,Rob Paulsen,Spencer Breslin,return to never land,English
Ava DuVernay,Biography Drama History,David Oyelowo,Tom Wilkinson,Oprah Winfrey,selma,English
Steve Trenbirth,Adventure Animation Family Musical,Haley Joel Osment,Phil Collins,Tony Jay,the jungle book 2,English
Stephen Kay,Drama Horror Mystery Thriller,Barry Watson,Skye McCole Bartusiak,Charles Mesure,boogeyman,English
Mennan Yapo,Drama Mystery Thriller,Nia Long,Amber Valletta,Marc Macaulay,premonition,English
Jun Falkenstein,Animation Comedy Drama Family Musical,Kath Soucie,John Fiedler,Ken Sansom,the tigger movie,English
Jaume Collet-Serra,Horror Mystery Thriller,Jimmy Bennett,CCH Pounder,Aryana Engineer,orphan,English
Boaz Yakin,Adventure Family,Jay Hernandez,Joseph Julian Soria,Edgar Arreola,max,English
unknown,Comedy,Lamman Rucker,David Mann,Denise Boutte,meet the browns            ,English
Jason Friedberg,Adventure Comedy,David Carradine,Carmen Electra,Fred Willard,epic movie,English
John Milius,Adventure Fantasy,William Smith,Mako,Sandahl Bergman,conan the barbarian,English
Tom McCarthy,Biography Crime Drama History,Billy Crudup,Jamey Sheridan,Brian d'Arcy James,spotlight,English
Neil LaBute,Crime Drama Thriller,Jay Hernandez,Justin Chambers,Robert Pine,lakeview terrace,English
Takashi Shimizu,Horror Thriller,Sarah Michelle Gellar,Sarah Roemer,Matthew Knight,the grudge 2,English
Kevin Rodney Sullivan,Comedy Drama Romance,Richard Lawson,James Pickens Jr.,Barry Shabaka Henley,how stella got her groove back,English
Peter Hewitt,Adventure Comedy Fantasy Music Sci-Fi,Keanu Reeves,George Carlin,Alex Winter,bill & ted's bogus journey,English
Barry Levinson,Comedy Drama Romance Thriller,Robin Williams,Tina Fey,Amy Poehler,man of the year,English
Gary Nelson,Action Sci-Fi,Robert Forster,Maximilian Schell,Yvette Mimieux,the black hole,English
Anton Corbijn,Crime Drama Thriller,Violante Placido,Thekla Reuten,Filippo Timi,the american,English
Gregory Nava,Biography Drama Music,Jon Seda,Constance Marie,Jacob Vargas,selena,English
Jason Friedberg,Comedy,Diedrich Bader,Dave Foley,Anneliese van der Pol,vampires suck,English
Alejandro G. Iñárritu,Drama,Brad Pitt,Harriet Walter,Dermot Crowley,babel,English
Shawn Levy,Comedy Drama,Tina Fey,Abigail Spencer,Jane Fonda,this is where i leave you,English
John Patrick Shanley,Drama Mystery,Philip Seymour Hoffman,Meryl Streep,Carrie Preston,doubt,English
Trey Parker,Action Comedy,Jeremy Shada,Maurice LaMarche,Trey Parker,team america: world police,English
John Luessenhop,Horror Thriller,Gunnar Hansen,Keram Malicki-Sánchez,Shaun Sipos,texas chainsaw 3d,English
Jon Amiel,Crime Drama Mystery Thriller,William McNamara,Holly Hunter,Harry Connick Jr.,copycat,English
Malcolm D. Lee,Comedy,Marisa Saks,Snoop Dogg,Molly Shannon,scary movie 5,English
Joshua Logan,Comedy Drama Musical Romance Western,Clint Eastwood,Lee Marvin,Ray Walston,paint your wagon,English
Gus Van Sant,Biography Drama History,James Franco,Denis O'Hare,Lucas Grabeel,milk,English
Kevin Reynolds,Action Adventure Drama Mystery,Peter Firth,Jan Cornet,María Botto,risen,English
Steve Beck,Horror,Isaiah Washington,Ron Eldard,Francesca Rettondini,ghost ship,English
Todd Strauss-Schulson,Adventure Comedy,Patton Oswalt,Thomas Lennon,Paula Garcés,a very harold & kumar 3d christmas,English
John McNaughton,Crime Drama Mystery Thriller,Bill Murray,Robert Wagner,Jeff Perry,wild things,English
Nelson McCormick,Crime Thriller,Sela Ward,Paige Turco,Skyler Samuels,the stepfather,English
John Madden,Drama Thriller,Tom Wilkinson,Jesper Christensen,Romi Aboulafia,the debt,English
Stephen Frears,Comedy Drama Music Romance,Drake Bell,Lili Taylor,Lisa Bonet,high fidelity,English
Eric Valette,Horror Mystery,Johnny Lewis,Jason Beghe,Margaret Cho,one missed call,English
John Schlesinger,Crime Drama Thriller,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,eye for an eye,English
Roger Donaldson,Crime Drama Romance Thriller,Jason Statham,Saffron Burrows,Daniel Mays,the bank job,English
Michel Gondry,Drama Fantasy Romance Sci-Fi,Kate Winslet,Kirsten Dunst,Tom Wilkinson,eternal sunshine of the spotless mind,English
Andy Fickman,Comedy Family Romance,Jamie Lee Curtis,James Wolk,Christine Lakin,you again,English
David Ayer,Action Crime Drama Thriller,Keanu Reeves,Chris Evans,Noel Gugliemi,street kings,English
Edgar Wright,Action Comedy Sci-Fi,Michael Smiley,Thomas Law,Jasper Levine,the world's end,English
Andrew Fleming,Comedy Crime Family Mystery Romance Thriller,Kay Panabaker,Laura Harring,Tate Donovan,nancy drew,English
Michael Spierig,Action Horror Sci-Fi Thriller,Jay Laga'aia,Damien Garvey,Tiffany Lamb,daybreakers,English
Jim Field Smith,Comedy Romance,Mike Vogel,Kim Shaw,Geoff Stults,she's out of my league,English
Thomas Bezucha,Adventure Comedy Family Romance,Leighton Meester,Luke Bracey,Brett Cullen,monte carlo,English
William Brent Bell,Horror Thriller,Adam Goldberg,Frankie Muniz,Samaire Armstrong,stay alive,English
Simon Wincer,Action Adventure Drama Romance Western,Alan Rickman,Tom Selleck,Ben Mendelsohn,quigley down under,English
Anthony Bell,Adventure Animation Comedy Family Romance,Kevin Sussman,Larry Miller,Christine Lakin,alpha and omega,English
Renny Harlin,Action Fantasy Horror Thriller,Laura Ramsey,Kyle Schmid,Toby Hemingway,the covenant,English
Jessica Bendinger,Comedy Drama Sport,Jeff Bridges,Vanessa Lengies,John Patrick Amedori,stick it,English
Robert Rodriguez,Comedy Family Fantasy,Jimmy Bennett,Leo Howard,Jake Short,shorts,English
Gus Van Sant,Comedy Crime Drama,Kurtwood Smith,Wayne Knight,Holland Taylor,to die for,English
Henry Joost,Adventure Crime Mystery Sci-Fi Thriller,Samira Wiley,Marc John Jefferies,Emily Meade,nerve,English
Ed Harris,Crime Drama Western,Viggo Mortensen,James Gammon,Tom Bower,appaloosa,English
John Carpenter,Action Horror Thriller,Sheryl Lee,Cary-Hiroyuki Tagawa,Maximilian Schell,vampires,English
unknown,Action Adventure Animation Family Fantasy,Pablo Sevilla,unknown,unknown,yu-gi-oh! duel monsters            ,Japanese
Alfred Hitchcock,Horror Mystery Thriller,Janet Leigh,Vera Miles,John Gavin,psycho,English
Howard Deutch,Comedy Romance,Dane Cook,Taran Killam,Riki Lindhome,my best friend's girl,English
Shana Feste,Drama Romance,Alex Pettyfer,Bruce Greenwood,Rhys Wakefield,endless love,English
Garry Marshall,Comedy Drama,Hector Elizondo,Zachary Gordon,Jane Fonda,georgia rule,English
Steve Rash,Comedy,Mako,Adam Arkin,Billy Barty,under the rainbow,English
Richard Donner,Adventure Comedy Drama Fantasy,Matthew Broderick,John Wood,Leo McKern,ladyhawke,English
Mark Steven Johnson,Comedy Drama Family,Oliver Platt,Jan Hooks,Dana Ivey,simon birch,English
Mike Binder,Drama,Adam Sandler,Don Cheadle,John de Lancie,reign over me,English
Sean Penn,Adventure Biography Drama,Kristen Stewart,William Hurt,Hal Holbrook,into the wild,English
Todd Phillips,Comedy,Jon Heder,Sarah Silverman,Jacinda Barrett,school for scoundrels,English
Michael J. Bassett,Adventure Drama Horror Mystery Thriller,Radha Mitchell,Deborah Kara Unger,Martin Donovan,silent hill: revelation 3d,English
Robert Rodriguez,Crime Fantasy Horror,Quentin Tarantino,Salma Hayek,Cheech Marin,from dusk till dawn,English
Frank Nissen,Animation Family Fantasy Mystery,Kath Soucie,Brenda Blethyn,John Fiedler,pooh's heffalump movie,English
Jodie Foster,Comedy Drama Romance,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,home for the holidays,English
Stephen Chow,Action Comedy Crime Fantasy,Shengyi Huang,Chi Ling Chiu,Qiu Yuen,kung fu hustle,Cantonese
unknown,Comedy,Leah Remini,Mark Feuerstein,Sharon Lawrence,fired up            ,English
Peter Hastings,Comedy Family Music Musical,Haley Joel Osment,Alex Rocco,Stephen Root,the country bears,English
Marc Forster,Drama,Mustafa Haidari,Shaun Toub,Khalid Abdalla,the kite runner,Dari
Alejandro G. Iñárritu,Drama,Naomi Watts,Eddie Marsan,Danny Huston,21 grams,English
Paul Abascal,Action Crime Drama Thriller,Cole Hauser,Tom Hollander,Kelly Carlson,paparazzi,English
Catherine Hardwicke,Drama Fantasy Romance,Kristen Stewart,Taylor Lautner,Anna Kendrick,twilight,English
Chris Koch,Comedy Romance,Thomas Lennon,Lochlyn Munro,James Brolin,a guy thing,English
Amy Heckerling,Comedy Romance,Andy Dick,Robert Miano,Zak Orth,loser,English
Michael Moore,Crime Documentary News,Ronald Reagan,Michael Moore,Bernie Sanders,capitalism: a love story,English
George Stevens,Biography Drama History,Martin Landau,Carroll Baker,José Ferrer,the greatest story ever told,English
Billy Ray,Crime Drama Mystery Thriller,Julia Roberts,Michael Kelly,Joe Cole,secret in their eyes,English
Jason Friedberg,Comedy,Carmen Electra,Tony Cox,Ike Barinholtz,disaster movie,English
Nimród Antal,Action Crime Thriller,Andrew Fiscella,Fred Ward,Lorna Raver,armored,English
Jon Amiel,Action Comedy Crime Thriller,Bill Murray,Peter Gallagher,Joanne Whalley,the man who knew too little,English
Mark Mylod,Comedy Romance,Chris Evans,Ari Graynor,Ed Begley Jr.,what's your number?,English
James Mather,Action Adventure Sci-Fi Thriller,Joseph Gilgun,Vincent Regan,Jacky Ido,lockout,English
Barry Levinson,Comedy,Amy Poehler,Ariel Gade,Sam Lerner,envy,English
Mark Neveldine,Action Crime Sci-Fi Thriller,Jason Statham,Clifton Collins Jr.,David Carradine,crank: high voltage,English
Woody Allen,Comedy Crime,Jim Broadbent,Chazz Palminteri,Dianne Wiest,bullets over broadway,English
Michael O. Sajbel,Biography Drama History,James Callis,Tiffany Dupont,Nimrat Kaur,one night with the king,English
Phillip Noyce,Drama Mystery Romance Thriller War,Brendan Fraser,Tzi Ma,Holmes Osborne,the quiet american,English
Gore Verbinski,Comedy Drama,Nicolas Cage,Hope Davis,Michael Rispoli,the weather man,English
Walter Hill,Action Crime Drama Sport,Fisher Stevens,Wes Studi,Jon Seda,undisputed,English
David Koepp,Comedy Drama Fantasy Romance,Aasif Mandvi,Dequina Moore,Jordan Carlos,ghost town,English
Renny Harlin,Action Crime Thriller,Taylor Cole,Ashley Scott,Nick Gomez,12 rounds,English
Matt Reeves,Drama Fantasy Horror Mystery,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,let me in,English
Charles T. Kanganis,Action Comedy Family,Victor Wong,Dustin Nguyen,Don Stark,3 ninjas kick back,English
Michel Gondry,Comedy,Quinton Aaron,Mia Farrow,Melonie Diaz,be kind rewind,English
Stephen Frears,Comedy Drama Music War,Bob Hoskins,Christopher Guest,Sarah Solemani,mrs henderson presents,English
John Hillcoat,Action Crime Drama Thriller,Kate Winslet,Norman Reedus,Clifton Collins Jr.,triple 9,English
Woody Allen,Comedy,Woody Allen,Lynn Cohen,Judy Davis,deconstructing harry,English
Damon Santostefano,Comedy Romance,Matthew Perry,Oliver Platt,David Ramsey,three to tango,English
John Wells,Comedy Drama,Bradley Cooper,Omar Sy,Riccardo Scamarcio,burnt,English
Neil Jordan,Comedy Crime,Robert De Niro,Demi Moore,James Russo,we're no angels,English
Woody Allen,Comedy Musical Romance,Natasha Lyonne,Gaby Hoffmann,Jeff DeRocker,everyone says i love you,English
Frank Oz,Comedy,Peter Dinklage,Ewen Bremner,Kris Marshall,death at a funeral,English
James Wan,Action Crime Thriller,Aisha Tyler,Kelly Preston,Edi Gathegi,death sentence,English
Kirk Jones,Adventure Drama,Robert De Niro,James Frain,Brendan Sexton III,everybody's fine,English
Bob Clark,Comedy Family Sci-Fi,Scott Baio,Vanessa Angel,Peter Wingfield,superbabies: baby geniuses 2,English
Les Mayfield,Action Comedy Crime,Miguel Ferrer,Susie Essman,Gigi Rice,the man,English
Les Mayfield,Action Comedy Crime,Callum Rennie,Will Patton,Cedric the Entertainer,code name: the cleaner,English
Michael Lembeck,Comedy Crime Music,Debbie Reynolds,Nia Vardalos,Dash Mihok,connie and carla,English
Bob Fosse,Comedy Drama Music Musical Romance,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,sweet charity,English
Paul Thomas Anderson,Comedy Crime Drama Mystery Romance,Martin Dew,Katherine Waterston,Serena Scott Thomas,inherent vice,English
Dave Borthwick,Adventure Animation Comedy Family Fantasy,Jimmy Fallon,Kylie Minogue,Jon Stewart,doogal,English
Benson Lee,Drama Music,Chris Brown,Caity Lotz,Laz Alonso,battle of the year,English
unknown,Crime Drama Mystery Thriller,LeVar Burton,Eric McCormack,Scott Wolf,perception            ,English
David Zucker,Comedy Fantasy,Chriss Anglin,Geoffrey Arend,Gary Coleman,an american carol,English
Robert Rodriguez,Action Comedy Crime Thriller,Alexa PenaVega,Demián Bichir,Marko Zaror,machete kills,English
Glen Morgan,Drama Horror Sci-Fi Thriller,Laura Harring,Ty Olsson,Jackie Burroughs,willard,English
Fred Wolf,Adventure Comedy,Kevin Alejandro,Ashley Scott,Jeff Garlin,strange wilderness,English
Mike Leigh,Biography Comedy Drama History Music Musical,Jim Broadbent,Dexter Fletcher,Lesley Manville,topsy-turvy,English
Alejandro Monteverde,Drama War,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,little boy,English
David Cronenberg,Biography Drama Thriller,Michael Fassbender,Viggo Mortensen,Sarah Gadon,a dangerous method,English
Richard Linklater,Animation Drama Mystery Sci-Fi Thriller,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,a scanner darkly,English
Michael Apted,Biography Drama Sport,Gerard Butler,Abigail Spencer,Leven Rambin,chasing mavericks,English
Uwe Boll,Horror Sci-Fi,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,alone in the dark,English
Todd Graff,Comedy Drama Family Music Romance,Scott Porter,Charlie Saxton,Ryan Donowho,bandslam,English
Jonathan Glazer,Drama Mystery Romance Thriller,Cameron Bright,Anne Heche,Danny Huston,birth,English
J.C. Chandor,Action Crime Drama Thriller,David Oyelowo,Ashley Williams,Albert Brooks,a most violent year,English
Paul Gross,Drama History Romance War,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,passchendaele,English
Marc Abraham,Biography Drama,Dylan Authors,Bill Lake,Victoria Learn,flash of genius,English
Todd Haynes,Biography Drama Music,Christian Bale,Heath Ledger,Tyrone Benskin,i'm not there.,English
Mabrouk El Mechri,Action Thriller,Henry Cavill,Bruce Willis,Óscar Jaenada,the cold light of day,English
Rian Johnson,Adventure Comedy Drama Romance,Zachary Gordon,Maximilian Schell,Nora Zehetner,the brothers bloom,English
Charlie Kaufman,Comedy Drama Romance,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,"synecdoche, new york",English
Hayao Miyazaki,Adventure Animation Fantasy,Minnie Driver,Jada Pinkett Smith,Billy Crudup,princess mononoke,Japanese
Jean-Paul Rappeneau,Comedy Drama Mystery Romance Thriller War,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,bon voyage,French
Nancy Walker,Biography Comedy Musical,Steve Guttenberg,Randy Jones,Caitlyn Jenner,can't stop the music,English
John Hillcoat,Crime Drama Western,Ray Winstone,Noah Taylor,Danny Huston,the proposition,English
Angelo Pizzo,Biography Drama Sport,Donny Boaz,Finn Wittrock,Brent Anderson,courage,English
Richard Benjamin,Comedy Music,Damon Wayans,Jane Krakowski,Paula Garcés,marci x,English
Kurt Wimmer,Action Drama Sci-Fi Thriller,Christian Bale,Emily Watson,Sean Pertwee,equilibrium,English
Roger Spottiswoode,Drama War,Radha Mitchell,Guang Li,Matthew Walker,the children of huang shi,English
James Gray,Crime Drama Romance Thriller,Charlize Theron,Ellen Burstyn,Faye Dunaway,the yards,English
Matthew Diamond,Adventure Family Fantasy Musical,Chazz Palminteri,Garrett Clayton,Toni Braxton,the oogieloves in the big balloon adventure,English
Angelina Jolie Pitt,Drama Romance,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,by the sea,English
Katsuhiro Ôtomo,Action Adventure Animation Family Sci-Fi Thriller,William Hootkins,Robin Atkin Downes,Rosalind Ayres,steamboy,Japanese
David Anspaugh,Drama History Sport,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,the game of their lives,English
Andrew Jarecki,Crime Drama Mystery Romance Thriller,Ryan Gosling,Kirsten Dunst,Frank Langella,all good things,English
Kevin Reynolds,Action Adventure Drama History Romance,Esai Morales,Jason Scott Lee,Sandrine Holt,rapa nui,English
Stephen Chow,Comedy Family Sci-Fi,Jiao Xu,Yuqi Zhang,Chi Chung Lam,cj7,Cantonese
Jean-Marie Poiré,Comedy Family Fantasy Sci-Fi,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,les couloirs du temps: les visiteurs ii,French
Kevin Munroe,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,Marco St. John,Laura Spencer,Anita Briem,dylan dog: dead of night,English
Daniel Algrant,Crime Drama Mystery,Al Pacino,Richard Schiff,Mark Webber,people i know,English
unknown,Drama Family,Peter Vaughan,George Coulouris,Ewen Solon,the doombolt chase            ,English
Julie Taymor,Comedy Drama Fantasy Romance,Djimon Hounsou,Reeve Carney,Tom Conti,the tempest,English
Alejandro Amenábar,Crime Drama Mystery Thriller,Emma Watson,Aaron Ashmore,Julian Richings,regression,English
Jane Clark,Romance Short,Necar Zadegan,Traci Dinwiddie,Elea Oberon,the touch,English
Daniel Lee,Action Drama History War,Andy Lau,Sammo Kam-Bo Hung,Andy On,three kingdoms: resurrection of the dragon,Mandarin
Mike Barker,Crime Drama Thriller,Gerard Butler,Nicholas Lea,Callum Rennie,shattered,English
Wayne Thornley,Adventure Animation Comedy Family,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,zambezia,English
Gnana Rajasekaran,Biography Drama History,Mani Bharathi,Michael Lieber,Kevin McGowan,ramanujan,English
Tom Walsh,Animation,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,dwegons and leprechauns,English
Jonathan Jakubowicz,Action Biography Drama Sport,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,hands of stone,English
James McTeigue,Action Crime Thriller,Milla Jovovich,Roger Rees,Robert Forster,survivor,English
Scott Walker,Crime Drama Mystery Thriller,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,the frozen ground,English
John Curran,Drama Romance,Toby Jones,Sally Hawkins,Alan David,the painted veil,Mandarin
Uli Edel,Action Biography Crime Drama,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,the baader meinhof complex,German
Kevin Costner,Adventure Drama Western,Mary McDonnell,Michael Spears,Maury Chaykin,dances with wolves,English
Jake Kasdan,Comedy,Justin Timberlake,John Michael Higgins,Phyllis Smith,bad teacher,English
Harold Becker,Crime Drama Mystery Thriller,Al Pacino,Michael O'Neill,Ellen Barkin,sea of love,English
Mark Rosman,Comedy Family Romance,Dan Byrd,Lin Shaye,Julie Gonzalo,a cinderella story,English
Wes Craven,Horror Mystery,David Arquette,W. Earl Brown,Roger Jackson,scream,English
Steve Beck,Horror,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,thir13en ghosts,English
Stanley Kubrick,Drama Horror,Scatman Crothers,Shelley Duvall,Joe Turkel,the shining,English
Robert Zemeckis,Adventure Comedy Sci-Fi,Lea Thompson,Thomas F. Wilson,J.J. Cohen,back to the future,English
William Malone,Horror Mystery Thriller,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,house on haunted hill,English
Tyler Perry,Comedy Drama,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,i can do bad all by myself,English
Rob Hawk,Action Drama,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,fight valley,English
